000_md5sum 4.12.14-195-default 4.12.14-197.26-default 4.12.14-197.29-default 4.12.14-197.34-default 4.12.14-197.37-default 4.12.14-197.40-default 4.12.14-197.45-default 4.12.14-197.51-default 4.12.14-197.56-default 4.12.14-197.64-default 4.12.14-197.67-default 4.12.14-197.72-default 4.12.14-197.75-default 4.12.14-197.75.1.20796.1.PTF.1179810-default 4.12.14-197.78-default 4.12.14-197.78.1.21070.0.PTF.1181809-default 4.12.14-197.78.1.21087.1.PTF.1178049-default 4.12.14-197.83-default 4.12.14-197.86-default 4.12.14-197.86.1.22161.1.TEST.1183608-default 4.12.14-197.89-default 4.12.14-197.92-default 4.12.14-8.27-azure
0d19a5130d5b7889ead65bd165fb7e1c 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
deb49f3da4b18d69cb37470290753fae 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7dc474f959ad07c58d459a522b320859 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
e6d0768831570a812cc0dcb056039cb1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
cc06aab7a144dde2852c19cfcc74f9fb 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ae1de86e2293b6f0db95d4bde09b8815 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
572cd20ff8ecee9b405dbdebf32909ea 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4a25868aecff0c39776a8b1536845677 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9eb16dc4663c2135baa586c80b333c5b 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2c724407ef981b3d9b665040153f75f8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
dc550b007ed44ede28f7ba893e52b028 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
028bb203b9b8d2870cb4ae79f82df38e 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
5803d402d84b1a949b59af6adf13e7d0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
